"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"11",-3255.43296057687,-3253.46229588281,-3255.39129088305,-3259.94092113526,-3257.77086018699,-3254.41391896637,-3253.4639951765,-3241.82306754104,-3259.31006621321,-3255.88685670244,-3225.37842063484,-3253.99246806058,-3242.37154391499,-3256.25559856732,-3255.97934762511,-3253.84218331654
"12",-3264.15965033628,-3262.2962388322,-3263.71643682063,-3269.03282591388,-3266.8469543079,-3263.39504157496,-3262.15965121652,-3246.57767110435,-3268.8029288974,-3264.93372178317,-3222.03177996955,-3262.65422041131,-3247.51072812966,-3265.05288559347,-3265.34071670363,-3262.19718845697
"13",-3261.14243677678,-3259.37347199411,-3260.41458470167,-3265.81598199139,-3263.71918044732,-3260.53353056656,-3259.18521382731,-3245.29928492113,-3264.56638494188,-3261.48477377277,-3225.05204600804,-3259.43895760629,-3246.02448418407,-3261.80167541004,-3261.6402440875,-3259.14373662296
"14",-3260.11794460835,-3258.23471766275,-3261.06124087124,-3265.6830021217,-3261.74919445351,-3258.72626596211,-3258.11907717193,-3243.0345283079,-3264.00827510717,-3259.63001206989,-3220.2242498183,-3258.74422846609,-3243.73018976888,-3260.82350277217,-3260.0558955219,-3258.42381046338
"15",-3257.84460927078,-3256.07595343013,-3259.15134680062,-3263.89259765162,-3259.7466153346,-3256.34642019461,-3255.86841225789,-3249.00171592803,-3262.2730406468,-3257.40310269977,-3227.31969822045,-3256.10540717311,-3249.43779518301,-3259.0175413083,-3257.87915537631,-3256.27367685153
"16",-3265.72856428063,-3264.5212125894,-3264.22208560569,-3268.70504631826,-3265.17015388006,-3267.70209975654,-3263.87000068542,-3249.59565345077,-3268.24046297325,-3264.10267008936,-3221.19280920174,-3263.79572997766,-3249.53606595897,-3265.80415948455,-3264.99847135803,-3263.87593522584
"17",-3263.31014733909,-3262.34258983993,-3261.76744826692,-3266.40627746848,-3262.28775576321,-3265.34758375394,-3261.62245770692,-3247.50581030119,-3265.51716635764,-3261.53130113701,-3222.48724008656,-3261.31555275049,-3247.78833121003,-3263.9638350257,-3262.36498390418,-3261.35892427289
"18",-3262.23568105091,-3261.22761720663,-3260.32312713634,-3264.0688267494,-3260.99378384935,-3264.94155525535,-3260.44594120683,-3244.38644498408,-3262.7955407136,-3260.39827433618,-3219.06755417089,-3260.28175595906,-3245.66656421281,-3262.07475297633,-3261.83208954235,-3260.23705016881
"19",-3263.57986465713,-3262.42457016073,-3261.73582696632,-3265.48998832118,-3262.2391161665,-3266.06763493675,-3261.71330825638,-3244.95857530713,-3264.12192394876,-3261.62495222518,-3221.15322639079,-3261.59883170083,-3246.25715665596,-3263.29958761464,-3262.76214195055,-3261.58523707824
"20",-3261.32496117849,-3259.72854042015,-3259.51470926117,-3263.51627207737,-3259.83759504993,-3263.6223185718,-3259.32497405868,-3242.83344786816,-3262.01281841964,-3259.33807986661,-3215.71155574617,-3259.52955881198,-3244.57644895994,-3261.15589172867,-3260.12155891106,-3259.32596066576
