"","Date","Close","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"211",2017-11-27,92.9,-1.79166666666667,1,1.6,2.237,3,-0.597222222222222,0.333333333333333,0.533333333333333,0.745666666666667,1,-1,-0.333333333333333,1,0.333333333333333,0.333333333333333
"212",2017-11-28,93.27,0.916666666666666,1,1.9,3.488,1,0.229166666666667,0.25,0.475,0.872,0.25,0.5,-0.5,-0.5,0.5,-0.5
"213",2017-11-29,93.16,-2.91666666666666,1,4.2,2.165,1,-0.583333333333333,0.2,0.84,0.433,0.2,-1,-0.2,0.6,0.2,-0.2
"214",2017-11-30,93.05,3.69583333333333,4,3.6,8.666,8,0.923958333333333,1,0.9,2.1665,2,0.5,0.5,1,1,0.5
"215",2017-12-01,92.89,-0.552083333333333,-2,-1.8,8.301,2,-0.138020833333333,-0.5,-0.45,2.07525,0.5,-0.5,-0.5,0,1,0
"216",2017-12-04,93.19,-0.54375,-1,2,4.012,-1,-0.1359375,-0.25,0.5,1.003,-0.25,0,0,0.5,0.5,0
"217",2017-12-05,93.38,-0.758928571428571,6,4.75,5.968,9,-0.189732142857143,1.5,1.1875,1.492,2.25,-0.5,0.5,0.5,1,1
"218",2017-12-06,93.61,-1.70833333333334,3,4.4,2.188,4,-0.427083333333334,0.75,1.1,0.547,1,-0.5,0,0.5,0.5,0.5
"219",2017-12-07,93.8,1.42275,2,0.6,9.594,1,0.284549999999999,0.4,0.12,1.9188,0.2,-0.2,-0.2,-0.2,1,0.2
"220",2017-12-08,93.9,-1.4625,-1,0.95,6.699,0,-0.4875,-0.333333333333333,0.316666666666667,2.233,0,-1,-0.333333333333333,0.333333333333333,1,-0.333333333333333
"221",2017-12-11,93.87,-2.34583333333333,0,-0.75,2.658,0,-0.390972222222222,0,-0.125,0.443,0,-0.333333333333333,-0.666666666666667,-0.333333333333333,0.333333333333333,-0.333333333333333
"222",2017-12-12,94.1,1.29375,5,5.75,10.695,6,0.43125,1.66666666666667,1.91666666666667,3.565,2,1,0.333333333333333,1,1,0.333333333333333
"223",2017-12-13,93.43,3.31393333333333,8,14.9,39.529,23,0.301266666666667,0.727272727272727,1.35454545454545,3.59354545454545,2.09090909090909,0.272727272727273,-0.0909090909090909,0.454545454545455,1,0.272727272727273
"224",2017-12-14,93.49,-2.24791666666666,-1,2.5,15.654,2,-0.374652777777777,-0.166666666666667,0.416666666666667,2.609,0.333333333333333,0,-0.333333333333333,0.666666666666667,1,0
"225",2017-12-15,93.93,-0.6625,7,10.45,15.385,7,-0.110416666666667,1.16666666666667,1.74166666666667,2.56416666666667,1.16666666666667,0,0.666666666666667,1,1,0.333333333333333
"226",2017-12-18,93.69,0.51875,1,2.85,0.464,0,0.1296875,0.25,0.7125,0.116,0,0.5,0,0.5,0,0.5
"227",2017-12-19,93.44,-0.091666666666667,4,-1.1,3.076,1,-0.0305555555555557,1.33333333333333,-0.366666666666667,1.02533333333333,0.333333333333333,-0.333333333333333,1,-0.333333333333333,1,-0.333333333333333
"228",2017-12-20,93.31,-0.7069,6,1.6,8.975,5,-0.176725,1.5,0.4,2.24375,1.25,-0.5,0.5,0,1,0.5
"229",2017-12-21,93.28,1.71666666666667,7,4.3,7.849,3,0.343333333333333,1.4,0.86,1.5698,0.6,0.2,0.6,0.6,0.6,-0.2
"230",2017-12-22,93.35,0.00208333333333299,3,4.95,13.208,5,0.000520833333333248,0.75,1.2375,3.302,1.25,0.5,0,0.5,1,0.5
"231",2017-12-25,93.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",2017-12-26,93.26,-0.879166666666663,6,0.25,10.809,5,-0.146527777777777,1,0.0416666666666667,1.8015,0.833333333333333,0,0,0,1,0
"233",2017-12-27,93.03,-0.916666666666663,5,6.05,6.154,-4,-0.183333333333333,1,1.21,1.2308,-0.8,-0.2,0.6,0.2,0.6,-1
"234",2017-12-28,92.6,0.0298611111111112,1,4.95,10.237,2,0.00746527777777779,0.25,1.2375,2.55925,0.5,0,-0.5,0,0,-0.5
"235",2017-12-29,92.12,-0.370833333333333,3,6.05,18.669,3,-0.0741666666666665,0.6,1.21,3.7338,0.6,-0.2,-0.2,-0.2,0.6,-0.2
"236",2018-01-01,92.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",2018-01-02,91.87,0.753125,9,10.35,19.694,15,0.125520833333333,1.5,1.725,3.28233333333333,2.5,0,0.666666666666667,1,1,0.666666666666667
"238",2018-01-03,92.16,-0.856249999999997,8,7.05,19.361,11,-0.122321428571428,1.14285714285714,1.00714285714286,2.76585714285714,1.57142857142857,-0.142857142857143,0.714285714285714,0.714285714285714,1,0.714285714285714
"239",2018-01-04,91.85,2.43958333333333,-2,0.8,8.81,-5,0.406597222222222,-0.333333333333333,0.133333333333333,1.46833333333333,-0.833333333333333,0,-0.333333333333333,0.333333333333333,1,-0.666666666666667
"240",2018-01-05,91.95,0.24910714285714,3,3.75,3.988,1,0.062276785714285,0.75,0.9375,0.997,0.25,0.5,0.5,0.5,0.5,0.5
"241",2018-01-08,92.36,4.80416666666667,9,12.3,8.587,10,0.800694444444444,1.5,2.05,1.43116666666667,1.66666666666667,0.666666666666667,0,1,0.666666666666667,0.666666666666667
