"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"18",-4390.71979645483,-4388.72245515617,-4388.85902115579,-4392.40280521918,-4389.48175821275,-4393.06036472215,-4389.05762338098,-4374.98025970417,-4391.69644493325,-4388.8453789764,-4347.53362519862,-4389.61411323863,-4377.88536643419,-4390.50058131206,-4389.36684446408,-4388.8599226373
"19",-4388.52179468435,-4386.52888087039,-4386.58024933766,-4389.46446370336,-4387.23513995325,-4391.29413765501,-4386.76256061158,-4373.18312663623,-4388.47941689289,-4386.54528778102,-4346.05940803161,-4387.14616061914,-4375.28936247684,-4387.58741377111,-4386.89688603137,-4386.57284735403
"20",-4389.99256088742,-4387.99276303484,-4388.08485054611,-4391.31772826359,-4388.64516455068,-4392.44897249858,-4388.30726281727,-4375.31281024231,-4390.23825079833,-4388.01011387237,-4344.42660785814,-4388.57820539897,-4377.92018527415,-4389.10540533176,-4388.50759114654,-4388.06689391298
"21",-4383.73572449725,-4381.76214874126,-4381.98363086175,-4385.83177351286,-4382.04774708807,-4385.7634104927,-4382.33463315536,-4379.5279978084,-4384.7474974658,-4381.75910867025,-4350.90761424083,-4382.56166866402,-4380.6424857956,-4382.89776173719,-4382.22705434686,-4381.8033953451
"22",-4398.16461534548,-4396.16753284006,-4396.46516178893,-4400.74116865599,-4396.34275662589,-4400.03858648981,-4396.67018106774,-4384.18750840659,-4399.69933499161,-4396.25965166565,-4352.11115073077,-4396.86174261198,-4385.41505101058,-4397.66860402024,-4396.74607636211,-4396.19802072519
"23",-4393.74192093734,-4391.74578034758,-4392.15733662598,-4396.887123514,-4391.79890518095,-4395.00416741426,-4392.01621782684,-4380.02394949061,-4395.78884727656,-4392.05466866928,-4350.1945009512,-4392.24240278324,-4380.66053690014,-4393.64782286797,-4392.01370947349,-4391.89436496869
"24",-4395.23281101582,-4393.2654577038,-4393.49662999069,-4397.64802543827,-4393.33757483905,-4396.69694951596,-4393.37189637412,-4382.81903881075,-4396.5713429058,-4393.50239895055,-4354.531437314,-4393.64644223667,-4384.20209503148,-4395.04790132898,-4393.45414285441,-4393.36854247135
"25",-4397.30964886275,-4395.33542153383,-4395.68801679056,-4400.16234149686,-4395.36935915288,-4398.24294454685,-4395.52982228965,-4383.18291067328,-4399.32076002612,-4395.87366646429,-4355.58820261085,-4395.76862848764,-4385.02960622299,-4397.49340729697,-4395.34638540843,-4395.5589096035
"26",-4401.64902552109,-4399.68449190994,-4399.95808687984,-4404.29551479684,-4399.68185782482,-4402.7324223695,-4399.78906201647,-4387.09845859952,-4403.41750271664,-4400.36912585005,-4358.56543677018,-4399.79020209546,-4388.89127190243,-4401.52642172961,-4399.70747455616,-4400.07852762729
"27",-4404.16654770332,-4402.25471821149,-4402.22200999376,-4405.73938330907,-4402.22859585091,-4405.80117393756,-4402.2033779133,-4388.8925798668,-4405.29053407367,-4402.71679197104,-4358.95665686308,-4402.17329216553,-4390.60345956773,-4403.47402105038,-4402.26969761748,-4402.47391059332
