"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"17",-2170.82848260575,-2168.85696746311,-2171.47620147989,-2176.88422808564,-2171.78440683515,-2168.84110984774,-2168.9419156606,-2152.43741644884,-2177.26731738992,-2169.9039723068,-2127.51831505244,-2169.86233948911,-2153.16819936426,-2172.14671075332,-2171.11990069519,-2170.42090908712
"18",-2167.68563609519,-2165.77432424517,-2167.77192556502,-2172.64024224981,-2169.03805901608,-2165.86240192398,-2166.00310667111,-2148.06979211316,-2171.9022489658,-2167.45544264616,-2123.31894342032,-2167.45532885156,-2150.24177040285,-2168.14541189928,-2170.53982398367,-2166.0615745142
"19",-2169.38594229618,-2167.51474377973,-2169.51714076774,-2174.11021728082,-2170.87085954428,-2167.58716311475,-2167.77878087871,-2148.99133515944,-2173.29888931286,-2168.98031229238,-2126.19318727712,-2168.88239130664,-2150.57442104537,-2169.55319683887,-2171.92044044139,-2167.7877894571
"20",-2163.61182721752,-2161.81435184798,-2163.54047167755,-2167.31910130383,-2166.00628407065,-2162.40006933326,-2162.25756626526,-2143.69250056783,-2167.08535181318,-2163.36586362829,-2118.47084369631,-2163.49076061835,-2145.13836706,-2163.63057187797,-2165.18464742847,-2161.93215638894
"21",-2163.02731781673,-2161.26555343785,-2163.48038554401,-2167.52273554545,-2165.2477032962,-2161.73065192724,-2161.86953551198,-2151.35112539788,-2167.67314965553,-2162.70806430869,-2129.67545141389,-2163.38947322476,-2152.67214064296,-2162.76586923214,-2164.70864646559,-2161.34244708239
"22",-2166.60284904672,-2164.71400833862,-2167.1599199358,-2171.32726528436,-2168.12810381582,-2165.33461718789,-2165.16877375167,-2146.70566521938,-2171.68726270536,-2165.85559172438,-2121.4438498561,-2166.52790359307,-2147.5871441622,-2166.49156178088,-2167.86684700552,-2164.67325744192
"23",-2163.97116803532,-2162.0601557867,-2164.22964261792,-2168.27159675566,-2165.65604907044,-2162.56199970974,-2162.45903130496,-2144.79404073553,-2168.76133734151,-2163.19729143831,-2120.82345694853,-2164.09803810768,-2145.51455983287,-2164.11147791584,-2165.06348208613,-2162.14035199328
"24",-2164.59386214338,-2162.67235031495,-2164.364032392,-2167.57131012228,-2166.8785271591,-2163.41093610601,-2163.06238858733,-2146.7040711625,-2167.70859794083,-2164.26078092638,-2124.28950009949,-2164.50582915625,-2147.86973938294,-2164.28189273472,-2165.91104192525,-2162.64772368516
"25",-2164.58415000482,-2162.59385284256,-2164.78657249183,-2168.61226753077,-2164.77754671915,-2162.71712464976,-2162.85104411065,-2145.35216069324,-2168.97828751577,-2163.3162527685,-2122.6518404478,-2164.46563292834,-2147.33858474064,-2164.9241093165,-2164.61796130643,-2162.95043357743
"26",-2168.36403900618,-2166.40541990949,-2167.61971675066,-2171.5755433365,-2168.91169016926,-2166.80425433065,-2166.52294769042,-2148.40327516278,-2172.08167245119,-2167.22091398148,-2125.34117521657,-2167.80881674388,-2150.00570215352,-2168.7381316646,-2169.11124783112,-2166.78392447081
"27",-2169.44338772706,-2167.56306241846,-2167.8322669578,-2171.03231230014,-2170.81816832529,-2168.15478348329,-2167.52945364462,-2149.22816883288,-2171.66642476,-2168.72529095462,-2124.39112146669,-2168.43672914428,-2150.23820860106,-2169.02062977856,-2170.79645373216,-2167.73463934808
"28",-2163.58893036908,-2162.0662162585,-2161.61283246227,-2164.84586210344,-2163.70757622355,-2163.1557334413,-2161.5944762702,-2145.28567128998,-2165.06749419629,-2162.7294630038,-2119.16118915092,-2162.12125371859,-2146.0821924757,-2163.08602586602,-2165.05674178821,-2161.73971369312
"29",-2164.10067621356,-2162.58287894803,-2162.25394259616,-2165.62517243865,-2163.85527423983,-2163.34008707245,-2162.10197888938,-2146.56310533913,-2165.86738537721,-2163.24824948374,-2124.00890124827,-2162.58959015828,-2147.13576449311,-2164.06120249827,-2164.99575330406,-2162.31110450492
"30",-2164.19364254257,-2162.71908508614,-2162.19824128604,-2163.6785010601,-2165.70450531256,-2165.03358599187,-2162.19373999278,-2147.37585661746,-2163.94154323018,-2164.97439880469,-2120.40715776622,-2162.74629335209,-2148.33701829768,-2163.06066083872,-2166.30596135739,-2162.21367439315
"31",-2165.43320118492,-2164.11114031547,-2163.55815342179,-2164.49612635396,-2166.95910392743,-2166.79245215893,-2163.4503771083,-2147.77559935462,-2164.43691606157,-2166.7910823499,-2127.42912553258,-2163.61151329561,-2148.7343798974,-2163.82300932734,-2168.6425046914,-2163.44712295188
"32",-2172.61347481617,-2172.12841062374,-2170.61541767501,-2171.55871911029,-2173.20854928633,-2174.10496820017,-2170.80230022751,-2155.76065220418,-2171.83152956776,-2172.42726294202,-2130.83000282697,-2170.61347454327,-2156.47945834343,-2171.31974346485,-2173.79733650799,-2170.63256058248
"33",-2174.36856095756,-2173.76677915439,-2172.37188676855,-2173.43282519567,-2175.21946555921,-2176.58253907352,-2172.50479086579,-2159.31348292335,-2173.7801968713,-2174.27138711147,-2134.28611767667,-2172.37138860716,-2160.00437381783,-2173.45568026881,-2174.87497320277,-2172.41360608471
"34",-2176.23295628858,-2175.5914089349,-2174.25161401742,-2175.1533948503,-2176.82172451097,-2178.59854340935,-2174.3964032699,-2157.96963035731,-2175.59224627453,-2175.62992021593,-2133.36437718437,-2174.25131577668,-2158.3764206139,-2174.88179578113,-2175.82354138006,-2174.28062959673
"35",-2176.50938256649,-2175.75191802905,-2174.50962283701,-2175.3601056971,-2177.33931450552,-2179.57098803479,-2174.59392191552,-2156.13711222301,-2175.9317176866,-2175.91105653201,-2131.46739397306,-2174.55840381547,-2156.53948825368,-2175.29984333001,-2175.95615463041,-2174.76284790315
"36",-2177.99424987961,-2177.16066467928,-2176.00091627208,-2177.19470154262,-2178.65004269437,-2180.43788876057,-2176.05590852178,-2159.39768700315,-2177.72796635571,-2177.32957984989,-2132.58910884167,-2176.07173091384,-2159.544114793,-2177.01440346905,-2177.35054639954,-2176.12107127238
"37",-2177.44900637306,-2176.5329382208,-2175.52071868363,-2177.07218352796,-2177.86099081745,-2179.45271986939,-2175.46948436403,-2157.61712636079,-2177.5604465341,-2176.42503147245,-2132.42291746004,-2175.52016602708,-2157.60282605089,-2176.52282651071,-2177.06095206461,-2175.57252317463
"38",-2176.34256909635,-2175.94117242776,-2174.3493381845,-2175.49461048625,-2177.21791012573,-2179.36424925018,-2174.55155968228,-2157.1818260402,-2175.75861372141,-2175.54357098218,-2137.41739101045,-2174.34258704526,-2156.93626539308,-2175.01557217822,-2176.1764184514,-2174.64758073046
"39",-2181.62453940418,-2182.74620497967,-2179.66843067684,-2180.64974048473,-2182.99319414635,-2185.11114534412,-2180.99003579852,-2162.81256764158,-2180.4470907674,-2180.7766827171,-2134.77893086163,-2179.90381226238,-2162.51666569028,-2180.1606563698,-2180.80662688101,-2180.49004821958
"40",-2174.48506039724,-2175.7743987016,-2172.64678746616,-2174.48356577497,-2175.71460817527,-2176.02526308984,-2173.74615053203,-2155.10987352626,-2174.14207775624,-2173.38970382782,-2128.0131501878,-2172.66295222269,-2154.83272189022,-2173.21157091227,-2173.81465606298,-2172.69849202678
"41",-2170.37470858627,-2172.1768782342,-2168.62131751521,-2170.54653988746,-2171.66039812897,-2171.59564929217,-2169.95455961599,-2155.27434734053,-2170.10421040535,-2169.14257851932,-2127.79055065161,-2168.98612761762,-2154.28968363116,-2169.1554587929,-2169.58767937895,-2168.47245611449
"42",-2168.90785578831,-2171.4487531929,-2166.91910153477,-2168.65326055703,-2167.81026610961,-2171.86973005778,-2168.60079151177,-2155.91217946006,-2168.55208783159,-2166.92353230237,-2126.74547902058,-2167.98837394178,-2154.21343938686,-2167.39428710316,-2167.07137257087,-2166.99955565857
"43",-2170.86124935747,-2174.51931793615,-2168.93396840043,-2169.95066158578,-2169.36637888777,-2174.55338978261,-2171.55026806062,-2154.58662441347,-2169.47731990734,-2168.87723778268,-2125.01807902813,-2171.26143992448,-2152.81051248936,-2169.22208420606,-2168.98716526372,-2169.32243312338
"44",-2167.74869341854,-2172.18625520976,-2165.99216815535,-2166.45099676283,-2165.99484267075,-2171.55063564887,-2169.19410479549,-2150.13683232036,-2166.08362851494,-2165.7579129977,-2120.3765735157,-2169.48492721968,-2148.78226847991,-2166.16920771371,-2165.81583470791,-2166.15235543088
"45",-2167.10372979392,-2171.24078759079,-2165.28466225744,-2165.88991654852,-2165.29525126914,-2170.77028353571,-2168.19929380301,-2153.0811634409,-2165.51215016089,-2165.14688803101,-2124.7682051196,-2168.49877345112,-2151.75398843902,-2165.58706308739,-2165.15048060517,-2165.5946659092
"46",-2167.18316964552,-2170.54112725837,-2165.35563661929,-2166.08138134123,-2165.1910933269,-2170.0560337242,-2167.87238611732,-2149.43406755425,-2165.29636076182,-2165.21182367683,-2119.13842109426,-2168.61775348782,-2148.55506206939,-2165.3326652564,-2165.19566530056,-2165.52396815382
